평점,리뷰
1,완전 쓰레기 어플이네요..아니 뭔 어플을 이따위로 만든건지... 가입할때 모든 정보 기입해야하면 sns연동버튼은 왜 만든건지.. 그리고 예약하는데 왜 무조건 계좌번호 등록을 시키는지 이유를 모르겠네요... 애초에 회원 가입할때 계좌연동 안하면 사용 불가라고 크게 안내 창을 띄우던가 해야는거 아닌가여............ 단순 예약하려고 어플 가입했다...첨으로 예약 시도하다 화 나게 만드는 어플이네여....
1,이거 앱의 완성도가 너무 떨어지네요... 원격줄서기 해서 결제하고 카톡까지 받았는데 앱에는 예약내역 이런게 전혀 표시가 안됩니다. 현재 대기명단도 갑자기 0이되고... 앱 에러 났는지 강제종료 되기도 하고.. 이럴거면 그냥 모바일웹 기반으로 서비스를 하시는게 좋지 않나요...
1,테이블링 페이를 가입할때부터 등록하도록 하던가 이제 예약할라고 각잡고 준비했는데 예약 누르니까 계좌를 등록하라니 어쩌구저쩌구 그 덕에 여행일정 다 꼬여버려서 끔찍한 하루를 보냈습니다. 심지어 기껏 등록했는데 쓸곳은 없는 무의미한 절차더군요. 역대 업데이트 중 사용자 편의는 개나 줘버린 최악의 업뎃입니다. 이번 한번은 어쩔수 없이 썼지만 다시는 쓰지 않을 예정
1,"뭡니까 이게 연돈 치즈까스도 인원 반이상 시키지도 못하고 폭탄은 또 뭔데 저리 까다롭고 테이블링페이는 왜 만든겁니까? 그것만 없었어도 꽤 괜찮았을텐데요 업데이트는 더 좋게 만드려고 하는건데 기존에 좋은점들을 업데이트, 테이블링페이로 없앴잖습니까 업데이트 하기 전으로 되돌려 주십시요 (테이블링 페이도 없애주세요)"
1,"너무 화가나 후기 처음써봄. 최악의 어플. 페이 갑질은 처음봅니다.적당히 하세요. 로그인,회원가입, 은행계좌등록, 자동이체 등록 강요하여 개인정보 수집하는 최악의 어플. 다른 예약어플이 얼른 생기길 기도합니다. 여행지 오셔서 예약하시는분들!! 개인정보 다 털리고 예약도 못하니 이딴 어플깔지마시고 포기하세요."
1,아니 잘쓰고있다가 갑자기 계좌등록은 왜 하라는 거죠? 계좌확인에 출금동의까지? 스미싱 앱이 깔린줄 알고 놀랬네요. 다른 앱들은 간편결제를 지원하기도 하고 구글플래이스토어 결제도 있잖아요. 간편 결제 플랫폼 개발 등의 다른 목적이 있으신것 같네요. 고객들의 줄서기의 편의성을 고려하는 초심을 찾으시길..... 더 이상은 쓰지않을 것 같아요.
4,테이블링엡을 통해서 줄을 안서고 이용할수있어서 편리했어요 매장에 대한 정보가 있어서 미리 정하고 가니까 확실히 시간을 아낄수 있어서 좋았어요
1,검색기능이 왜이런가요? 지역을 정해서 검색할수 있게 해줘야죠;;;;
3,한국인 사용자입니다. 카톡으로 메시지 가면 외국에선 카톡 안 쓰는 건 생각 안하시나요? 외국인들이 한국 와서 식사 접수하는 것도 힘들면 한국 개망신이다. 한국 망신 시킬거냐?
1,분명 사람 많을 가게인데 대기가 없어서 어플 원격줄서기가 안된다길래 직접 가보니 4팀이나 대기 중인데 이럴 거면 이 어플 왜 쓰나요
5,편하긴 편해요. 문제는 원격 줄서기로 했을 때 리뷰하기 힘든 점인 거 같아요. 로그인이 되어있거나 안 되어있을 때 리뷰 연동이 안되어서 제 계정으로 리뷰가 안 올라가고 익명1이 올린 리뷰가 되어버린다는 게 아쉽네요.
1,개같은 어플 카드결제 안되게 해놓고 계좌등록에 인증에 다하고 살려고 하면 마음대로 돈빼가서 3만원씩 페이충전하고 자빠졌네
3,테이블링 덕에 시간은 아껴서 좋은데 정작 폭탄 채워야 하는 결제시스템을 못해서 폭탄은 줄기만 하고 늘릴 수가 없어요 계좌로 충전했다가 테이블링 페이로 결제안되서 카드로 결제하고 나오네요.. 쓰실 분들은 쓸 수 있게 테이블링 페이로 선택 가능하게 해주면 좋겠어요
1,"업데이트 하고 기존 아이디로 로그인도 안되고, 새로 가입했더니 갑자기 결제수단 등록해야 한다고 뜨네요... 줄 서는 정도인데 이걸 왜 등록해야하는 지 모르겠어요. 진행하다가 자동이체 계좌등록이라는 단어에 찝찝해서 그냥 안했습니다... 앱 잘썼는데 이제는 모르겠네요"
5,"사용자중 60%이상이 연돈인듯 ㅋㅋㅋㅋㅋㅋ 리뷰보고 너무 웃겨서 ㅋㅋㅋㅋㅋ 역시 저도 실패 ㅋㅋㅋ 어렵진않고 저는 튕기지도 않았는데 실패 ㅋㅋㅋㅋ 아 5초보다 빨랐는데 슬프네 ㅋㅋ 팁 드리자면 😀1. 즉시예약 버튼을 눌러 위치기반을 먼저 동의해주세요 (in 제주) ㅋㅋㅋ 😃2. 인원 선택 후 다음을 누르세요 ㅋㅋ 😄3. 요일이 보이는 그 화면에서 대기하세요 😆4. 8시 정각이 되면 요일 아래 시간별 버튼이 뽝!뜹니다 ㅋㅋㅋ 😁5. 선택 후 다음, 메뉴 수량 터치! 터치! 다음 😘6. 예약 완료하시겠습니까? 예 터치! 다음 🤣7. 실패 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
1,"가려던 식당이 테이블링 앱에서 '대기 없음'으로 뜨길래 룰루랄라 갔더니 글쎄, 정작 매장 테이블링 앱은 켜놓지도 않았고 사람들은 바글바글 줄 서있던 거예요! 아니 그럴거면 테이블링 앱에 '대기 없음' 이따위로 써놓질 말던가...? 매장에서 앱을 아예 꺼놨을 경우에 맞춰 표시해줄 필요가 있다고 생각됩니다. 괜히 헛걸음만 했어요!"
1,대기하는 사람이 많아서 문제가 생기는 일이 많은데 고치지도 않고 예약 하는 의미도 없습니다. 진짜 실망스럽고 마음에 안듭니다. 그리고 다른 사람들이 남기신 리뷰를 보는데 다 메일이나 담당부서로 연락하라고 적혀있는데 공통된 시스템 문제로 인해 많은 사람들이 불편을 겪고 있습니다. 근데 왜 수정을 안 하시는거죠?
1,위치사용권한 되어있는데 예약하기하면 자꾸 하라고 알림뜨네
1,다운 받을때 왜 별점이 이렇지? 했는데 기능 하나 써볼려고 하니 왜 그런지 바로 알게됨. 줄서는거 예약 하는데 왜 오픈뱅킹까지 연동해야하고 자동충전까지 가입해야하는지 모르겠음 차라리 예약금이 필요하면 그때가서 수동충전하면 되게라도 해뒀으면 모르겠음.
1,"이번 업데이트는 업그레이드가 아닌 다운그레이드인 것 같습니다. 불편한 것 투성이에, 무리하게 사업 확장하려고 한게 너무 뻔히 보이네요. 이런식으로 업데이트 해놓고 애꿎은 업장과 손님간에 얼굴 붉히게 만들지 마세요. 가뜩이나 웨이팅 있는 식당들 대상이라 직원들도 충분히 바쁘고 정신 없는데 코드 입력 오류나고 어플도 그지같아서 먹기 전부터 빡침"
1,뭔 원격줄서기 한번하려는데 가입에 페이등록까지 하랍니까....가입도 카카오톡계정으로 시작하기 눌렀는데 뭔 이메일 비번 또 쓰라고하고 휴대폰인증도 하고 계좌등록은 왜 하라고하는지... 이거 어플 쓰기싫어서 그냥 원격줄서기도 안하고 그냥 다른데가려구요. 어플은 그냥바로 탈퇴했습니다.
5,"만족해요! 앱 내 지도 기능을 지원하면 더 좋을 것 같습니다. 가게 별로 각각 페이지에 들어가서 위치 클릭해서 구글앱으로 하나씩 보기보단, 앱 자체 지도에 내 주변 기능으로 가게 위치가 표시되면 훨씬 더 편할 것 같아요."
