평점,리뷰
5,"좋은 레스토랑을 스마트하게 이용하는 방법:) 아직 사회 초년생이라면 초년생이라 윗분들 모시고 음식점 예약하는 일이 많아 어려웠는데, 이게 웬 걸! 정말 똑똑하고 간편한 어플입니다~ 매번 대접에 있어 실패만 하다가, 가려는 지역과 맛집 리뷰를 보고 예약할수있어 정말 좋아요^^"
5,원격줄서기 편리하고 좋아요 쉽게 걸 수 있고 늦을 것 같으면 미루기도 가능해서 너무 편리합니다 굿이에요
3,원격 줄서기 용으로 사용하는데 매장앞 키오스크에 나오는 코드번호를 입력하는거면 원격의 의미가 없는거 아닌가요? 옛날엔 없었는데 왜 이런 이상한게 생긴건지..
2,지역별로만 카테고리라이징 되어 있는데 메뉴종류별-지역별로도 추천이나 검색되면 더욱 좋을것 같네요.
3,즉시예약 전화 안해도 되고 편리함. 근데 예약 가능한 매장이 많이 없는 것 같음. 이 부분만 보완되면 잘 쓸듯.
1,원격줄서기인데 가게 키오스크 번호 필요?? 가게와 떨어져있어서 원격줄서기를 한건데 내 순서가 언제인지 알라면 키오스크 번호가 필요하다는게 말이 되는건지..ㅎㅎ 그러면 원격으로 줄 설 필요가 없죠 현장에서 줄을 서고 말죠 ㅋㅋㅋ
1,원격줄서기 할때 계좌를 왜 등록하는지 모르겠네요... 뭐 그렇다쳐도 그럼 아이디를 가입하고 바로 진행하거나 안내를 해줘야죠. 휴 대기 시간만 엄청 늘어났어요
5,폭탄이라는거 이름 대체 누가 지은건지... 음식이랑 관계도 없고 되게 불쾌함... 진짜 폭탄이라는 이름만으로도 사용자경험이 매우 나빠짐
1,"메뉴고르는 순서가 생겨서 매뉴선택 등록해놓지 않은 업체에선 원격줄서기 자체가 불가능하네요,,,,, 업뎃 안한 분들만 사용 가능한가봐요"
1,최악의 어플. 테이블링페이 도입하기로 했으면 알뜰폰 사용자도 접근할수있게해놓고 시행을 하던지 페이 가입조차도 어렵고 다시는 이 어플 사용도 안할거고 이걸 사용하는 가게도 방문하지않을거임
1,별점낮은 이유가있네요 ㅋㅋ 본인인증 여러번 시도해봤는데 언제는 동의버튼이 안뜨고 언제는 인증버튼이 안눌러지고 언제는 대기화면에서 멈춰있고 언제는 흰색 화면만 떠있고 ㅋㅋ 최악이네요 덕분에 이걸로 원격줄서기 해놓으려고 했던 식당도 안 가게 됨
1,줄서기 어플인데 ..예전엔 잘됐는데 올해 업뎃후에 줄서기버튼이 없어져서 사용을 못하고있어요. 고객센터 문의했는데 해결을 못해주시더라구요ㅠㅠ 아쉬워요~
1,앱이 문자해킹당하고있습니다. 테이블링 대기하고 좀이따 입장대기 (xxx실장)와 링크가있는 문자가왔습니다 확인바랍니다
1,원래 안이랬는데 거지같이 바뀌었네요. 테이블링으로 줄서는 사람도 없어져서 대기인원도 안맞네요 곧 없어질 서비스로 보입니다. 수고하셨어요.
5,앱이 유용합니다 간단 예약이나 웨이팅 같은 걱정이 사라져서 좋아요~엄선 맛집 검색으로 좋은 곳 많이 알게됐어요
1,예약 하려고 시도 하였으나 앱이 먹통 왕짜증 있으나 마나.... 한듯
1,돈벌이 수단에 노쇼방지라고 갖다붙인 느낌이네요 수단에 왜 계좌로 충전결제방식 하나인건지 그리고 결제를 다른사람이 할 수도 있는건데 그럼 폭탄은 계속 떨어지기만 할텐데 본인들 충전결제방식 이용하게끔 강제하는거고 이용안할경우에 폭탄 떨어지면 폭탄충전하라고 결제유도까지 하겠네요
5,순서 뒤로 미루기는 너무 편한데요.. 한가지 아쉬운점 : 페이지 들어가야만 대기몇명인지 보이는게 불편함.. 목록에서도 보이게 해주세요ㅠ.ㅠ
5,음식점 다닐때 검색해서 예약을 걸고 가고 있어요 클릭 몇번으로 바로 된다는게 큰 장점입니다~~
1,앞에 네팀이나 있고 도착 10분전이라 줄서기했는데 바로 입장하라니요. 코드입력 안하면 패널티라고 하고...줄섰다가 취소하는 과정을 번복시킵니다. 매장 상황이랑 잘 안맞는거 같네요. 불편합니다.
5,앱으로 예약 포장주문 원결 줄서기까지 너무 편리한 앱이에요 결제도 쉽게 할 수 있고 매우 편리하네요
3,검색기능 좀 바꿔주세요. 장만옥을 검색하면 장 들어가는 식당.만 들어가는 식당.옥 들어가는 식당 다나와서 너무 불편해요. 그리고 리뷰순으로 정렬되는게 있으면 좋겠어요.
5,데이트할때 많이 사용해요~ 장거리 커플이라 줄서는데 시간버리기 아까워서 대기 걸어놓고 근처 카페라도 들어가서 시간 알차게 보내고 밥 먹으러 가요! 저처럼 장거리커플이신분들한테는 진짜 유용한 어플인듯요!
5,"여행 다니면서 대기하는 시간이 제일 아까웠는데, 특히 여행 할때요. 이 어플로 먼저 대기 걸 수 있어서 대기시간 많이 아꼈어요. 추천합니다."
5,원격줄서기 너무 편합니다 앱 덕분에 매우 편리하게 맛집들을 다니고 있어요 좋아요 여러가지로 만족하면서 이용중입니다 ‍
1,아니 업데이트를 무슨 수시로하세요 예약하려고들어갓다가 뭐 계좌 등록하라등록하라해서 기회또놓쳣네요.. 결제는 거기가게가서 하는건데 뭔 계좌를 입력하래요..하...
4,테이블링 사용하는 매장이 점점 많아져서 이제는 다운안받을수가 없더라구여!! 그런데 잘 사용하고 있어요!! 아주 편리합니다~
1,돈벌려고 하는건 이해함. 근데 업데이트 후 회원가입 통장인증 통신사인증 새로 미리하라고 알림 하나만 강제로 띄워줘도 화 안 냈을거임. 미리 준비하면 되니까. 시이팔 가게 오픈시간 맞춰서 원격줄서기 누르니까 그때서야 가입하고 이거저거 인증하고 등록하라고? 지금 장난침??? 평소같으면 00페이 이딴거 계좌 연동도 안 하는데 진짜 당장 줄서려고 가입은 했음. 근데 그 새 줄을 못서게 됐잖아? 기대하던 점심시간 기분 아주 제대로 망침. 체크페이인지 뭔지 대안 나오면 바로 탈퇴한다. 아니 그냥 반차쓰고 사람 없을때 먹는다.
1,"테이블링페이라니.. 줄서는데도 돈내야되네요; 차라리 광고를 넣어서 광고비를 받지,, 이용자들이 많았던 이유를 모르시는듯 다떨어져나갈거같아요"
1,가장 중요한 입장 알람이 안왔음 내 순서 확인하기 누르니까 테이블링 완료라고 떠서 매장에 문의하니 실수로 지나간거 같다고 바로 식사하게 해주셨는데 다른분들도 그랬나봄. 식사끝나고 나올때 일일이 전화해서 입장확인하고 계시더라능
1,가입 보안 문자부터 막힘. 내가 오류가 아니라 앱 자체가 오류 투성임. 쉬지말고 연구하시길 바랍니다. 어이무ㅎ
5,포장 주문 맛집 예약 원격줄서기 결제까지 모든게 앱 하나로 가능해서 매우 편해요!맛있는 맛집들 많네요
1,앱을 다운받을 필요가 없음 현장줄서기에 번호 입력해도 앱이랑 연동 안돼서 어차피 앱말고 카톡들어가서 봐야함. 그리고 앱에서 원격줄서기하려면 정말 번거로움
1,종종 잘 사용했는데 갑자기 계좌 입력을 안하면 못쓰게 해놨네요. 왜 이렇게 하는건지 정말 불합리적이고 불편합니다. 앞으로 안쓸거 같아요.
5,앱으로 맛집을 즉시 예약할 수 있고 메뉴까지 미리 고를 수 있어서 좋습니다 자주 이용하고 있는 앱이에요
5,성수 놀러갔을때 매장에서 등록하는거 보고 완전 편하다고 생각했는데 폰으로도 되는줄 뒤늦게 알았네여~ㅎㅎ 미리 알았으면 폰으로 하고가는건데! 앞으로 잘 쓸게여~ㅎㅎ
1,"솔직히 연돈때문에 깔았는데 3일내내 실패하면서 3일내내 에러 케이스가 다름. 처음에는 예약하기 누르면 요청이 많다고 뜨더니, 둘째날은 그나마 정상 오늘은 to many connection 이라는 사용자 ux 전혀 고려안된 이런 메시지만 나옴 이게 b2b b2g어플도 아니고 b2c인데 이렇게 전문 업체에서 이렇게 qc없이 나온어플은 너무한듯 앱개발자는 아니지만 개발자로서 너무하단 생각이 들어서 연돈아니면 안쓸듯"
2,2팀이상 대기해야 원격줄서기 하는거 너무 불편하네여 1팀이라도 대기하면 원격줄서기 해줄수 있게 해줬으면 좋겠네여
1,진짜 시스템 요상하네요ㅋㅋㅋ 이렇게 페이 유도하는 어플은 또 오랜만인듯. 차라리 예약금을 받는거면 모를까. 그냥 기본 제공되는거 다 쓰면 탈퇴하고 다신 안쓸듯.
2,"잘 쓰다가.. 오늘 어플 들어갔더니 무슨 계좌 연결해야지 원격줄서기 가능하다길래, 계좌 연결하러 갔더니 성별이 남자가 아니라 여자라서 바꿔야되는데 바뀌지도 않고, 원격줄서기 하나 하려고 계좌 연결을 해야하는지 뭔 되도 않는 시스템을 귀찮게 추가해서"
1,언제부터 돈 내야하는 시스템 되었는지 모르겠다.. 등록하려는데 인증번호 같은게 전화 와서 당황했다..청각장애인에게는 어떻게 듣으라는건지.. 정말 매너가 부족하고 아쉽다.
5,앱으로 편하게 예약하고 원격줄서기 쓰고 있어요 웬만한 맛집들 많이 사용중이라 편리함이 있음 이용법도 간편해서 좋음
1,원래 페이 등록 안해도 쓸 수 있었는데 갑자기 뭔 페이가 생겨서 등록 어거지로 시키고 개열받아요. 그냥 테이블링 써야되는 곳을 안가고 싶을지경임.
5,몇 년 전에 써보고 잊고 살고있었는데 이번에 부산여행하면서 다시 깔았습니다. 예약이랑 대기 가능한 매장이 엄청 많이 늘었네요~ 덕분에 여행 즐겁게 했어요^.^
1,예약 어플인데 00분에 딱 접속해도 접속자가 많아서 대기하라고 하면 도대체 누가 예약해서 가는겁니까ㅋㅋ무선인터넷 제일 빠른 지역..? 그리고 동일한 컴플레인에 몇일째 로보트처럼 똑같은 답글 다실거면 그냥 달지마세요;; 이쯤되면 담당부서가 없는거 아닌가요
5,"여기는 무슨 맛없는 곳이 없네,,, 광고? 매장도 없는 것 같고 리뷰도 볼 수 있으니까 그거 참고해서 맛집 다니고 있음, 매장이 워낙 많다보니 선택지가 많아서 편리함!!!"
1,이건 그냥 연돈 전용 웨이팅어플입니다. 웨이팅도 안되는 수십개 가게들은 왜 리스트에 있는건지 모르겠네요. 눌러봤자 줄서기가능한 가게 못찾고 헷갈리기만 함. 최악인건 제주갔을때 연돈 예약하려고 앱깐 다음 8시기다리다가 번개처럼 줄서기 누르니까 본인인증 창이 떠서 실패. 그것도 8시 예약폭발인지 렉걸리고 인증도 실패. 즉 첫가입자가 연돈 예약 성공 하려면 다른가게 가짜로 예약 시도해서 본인인증 처리해야 비벼볼만하단 얘기입니다. 본인 인증은 가입할때 해야지 . 속도가 중요한 예약 화면에서 약올리듯 뜨는게 말이됩니까.. 제일 중요한 기능들이 최악인 어플
2,지도기능을 만들어서 목적지의 테이블링 가능식당 및 대기팀 표시가 되어있으면 편할텐데 일일히 검색하고 들어가야되서 엄청불편하네요
4,코시국에 정말 편한 어플. 외식을 아예 안할 순 없으니 이왕 외식하는거 맛집 찾아가면 사람 부대끼면서 대기해야 하는게 정말 불안했는데. 테이블링으로 원격줄서기 대기 거니까 사람간의 접촉이 적어서 좋네요
5,요즘같은 시국에 참 좋은 앱이네요. 원격 줄서기 하면 타인과 접촉을 줄일 수 있는게 가장 좋은 점 같습니다. 번창하세요.
5,앱으로 쉽게 예약을 할 수 있고 손님이 많아서 기다리지않게 대신 줄서기 기능도 너무 잘 쓰고 있어요
5,이 시국에 줄서서 있는것도 걱정인데 원격으로 대기 걸어놓고 산책을 하든 카페에 들어가서 있다가 톡오면 출발하면 되니까 너무 편리하고 좋네요!
1,원격 줄서기 메뉴가 S10e에서는 아예 잘려서 버튼자체가 나오지 않음. UI 검수를 잘했으면 합니다
1,별 한개도 아깝습니다.. 예약하려고 들어가니까 서버 터져서 접속도 안되고 서버관리가 안되도 너무안되네요
1,테이블링 앱 서비스의 근본인 테이블링 시스템이 엉망이 됨. 간편결제 도입을 위한 업데이트라고하지만 사용성이 매우낮아짐
3,지역을 추가해줬으면 좋을거 같아요. 그러면 이름을 몰라도 지역 내에 있는 맛집들을 찾아서 예약할 수 있으니까요!!
5,계속해서 서비스 개선하려는게 느껴져서 좋아요 안좋은 점은 보완되고 좋은 서비스를 더 편리하게 이용할 수 있게 되었네요. 늘 감사합니다.
1,줄서기 한번하는데 sns연동 비밀번호 설정 핸드폰 인증 계좌인증이랑 자동이체 연결이 도대체 왜필요합니까? ㅋㅋㅋ 제 개인정보 다 챙겨다가 어디다 쓰시려는지 모르겠네요
3,주변에 맛집 찾을수있는 기능이 있으면 좋겠네요... 검색으로 지역명-> 가까운곳 찾기해도 누락된곳도 많은것 같구요...
1,기본충전도 왜 5만원에 설정 해놓으시나요 최소가3만이면 3만을 기본으로 설정해야지 다시 인출하면 2일이나 걸리고 취소도 안되고 아 짜증
1,연돈 예약하려고 들어갔는데 업데이트하래서 헐레벌떡 업데이트했더니 무슨 페이등록하래서 마음은 급한데 그거등록도 오래걸림...하 ㅋㅋㅋ등록하니 이미 예약 끝남. 보니까 20일부터 업데이트+페이등록 필수로 바꼈더라구요? 20일 전에 미리 어플깐 내 잘못이지...
1,연돈예약하는데 메뉴가 바로 안떠서 선택이 늦어져서 예약실패했네요 메뉴가 바로바로 떠서 예약 실패할 일 없게 했으면 좋겠네요
4,"어디 핫플갈때는 요즘 이 어플 필수인듯,, 왠만한 핫하다고 소문난 매장들은 다 사용해서 사용을 안할수가 없음,, 그런데 쓰다보면 참 편하고 좋음!"
3,예약할 때 무난하게 잘 쓰는 앱입니다.. 코로나 때문에 거의 외식을 못하지만.. 줄서는 곳은 계속 줄 많더라고요
5,핸드폰으로 원격줄서기하는거 진짜 자주 쓰고있어요~ 아직 열리기 전이지만 포장 주문도 되면 사이렌오더처럼 미리 주문하고 찾으러갈수있겠네요~
1,회원가입부터 원격줄서기까지 도대체 왜이렇게 과정이 복잡한건지.. 폭탄시스템도 생기고 테이블링 다시는 안씁니다
1,오랜만에 쓰려니 페이 강제가입도 짜증나는데 그것도 자바오류에 메일주소입력 안내 무한로딩이네요. 요즘세상에도 어플오류라니.. 관리참ㅋ
3,"무인대기? 좋습니다. 다 좋은데 절차가 너무 복잡합니다. 회원가입, 인증, 계좌등록... 진짜 너무 복잡하고 귀찮았습니다."
1,검색창에 양천구 목동 이라고 검색했는데 노량진이나 완전 다른동네는 도대체 검색결과에 왜나오는건가요... 검색 예시에 지역이 있는 의미가 없음
1,업데이트 롤백안하고 사과문 안띄우면 올해안에 이 어플 망하고 대체재 생김. 이런 방식으로 업데이트하는 운영진이 있으니 이미 망하고 있는듯.
1,대기예약 눌러도 확인도 안되고 인원 선택 전혀안뜸 . 리뷰보니 아래부분이 잘리는모양인데 다시깔아도 불가능.
5,클릭 몇번으로 예약을 할 수 있고 좋음~특정 시간대에는 할인 금액으로 결제도 가능해서 좋음~
1,가입한적도 없는데 웨이팅 메세지가 옵니다 가입해서 탈퇴하려고 하니 개인인증 화면에서 멈춰 진행이 안됨. 어찌어찌 탈퇴.
2,앱 출시 전 QA 테스트를 제대로 진행하지 않은 거 같아요. 계좌 가입 및 등록하는데 계속해서 다양한 버그들이 발생해요
5,전에 대기순서를 간발의 차로 놓쳐서 못 들어갔던 적이 있는데 물론 제 실수지만 너무 허무했거든요 이제 드디어 순서미루기가 성공했네요
5,예전에 내위치 주변에 있는 맛집이 보여지면 좋을것 같다고 의견 보낸적 있는데 반영된것같아서 신기하고 기분좋네요ㅋㅋㅋ 잘쓸게요 번창하세요~🌻🌻🌻
5,실제 방문자들만 쓸 수 있는 리뷰들로 맛집 찾기도 쉽고 예약이나 원격줄서기로 바로 음식점 입장이 가능해서 좋습니다
1,서버 좀 늘려요;; 누르자마자 완료 되게끔 해줘야지 무슨 확률형이냐고;; 선착순이면 선착순답게 누르자마자 끝나야 하는건데 뭘 붙잡고 계속 눌러야하는건지;; 좀 역겹네요
1,"별로임. 가입 후 원격 줄서기 시간 맞춰 들어갔는데, 인증 절차와 오픈뱅킹등 왜 이제서야 인증하라고 뜨도록 만들었는지. 제대로 좀 만드세요."
2,가입하고 페이도 등록해야되고 번거로운게 많네요. 요즘 가입한 어플중 가장 귀찮고 과정이 길고 별로였습니다
2,인증이 너무 많아요.. 가입할때 뭐만 하면 자꾸 핸드폰 인증하라고하고 대기하려면 무슨 페이 가입해야한다고하고 페이가입하니까 계좌 등록해야하고 은행 어플 켜서 입금내역 숫자 확인해서 등록하니까 ARS 인증 해야한다고하고.. 어찌저찌 다 끝나고 대기누르고 완료된줄알았는데 내역보니까 대기확정?이라는게 있어서 봤더니 가게로 가서 기계에 써져있는 번호를 입력해줘야 완료가 되는거라고 하고.. 그럴거면 어플깔아서 그 난리 안치고 직접가서 번호표 뽑고 기다렸죠.. 지하철 다 와갈때쯤 미리 대기 눌러놓고 천천히 가려고 했던 건데 취소될까봐 지하철 내리자마자 허겁지겁 가게로 갔네요.. 편하려고 어플쓰는건데 이렇게 번거로울거면 왜 쓰나 싶어서 삭제합니다..
4,앱의 취지는 좋습니다. 하지만 지역명으로 검색할때 포항이면 포항매장만 뜨면 좋을텐데 엉뚱하게 서울매장도 같이 뜨네요! 이 부분만 수정해 주시면 좋을것 같습니다.
1,최악임 원격 줄서기 하는데 계좌 등록도 하고 페이도 등록해야하고 sns연동 가입해도 다시 재가입해야하고 이렇게 써봤자 보지도 않을거 같으니 다시 만들어라
5,여타 앱들과는 다르게 페이 탈퇴도 회원 탈퇴도 매우 쉽습니다. 다음에 또 필요할 때 부담없이 사용할 수 있을 것 같습니다.
2,"원격 줄서기, 참 좋은 아이디어이긴 한데 지역이 너무 제한되어있네요. 사용할 수 없으니 삭제합니다."
5,업댓했더니 앱이 많이 바꼈네요ㅋ 계좌를 등록해야해서 처음에 번거롭긴 한데 줄서기 편리해서 잘쓸듯합니다
5,평소에 자주 가던 레스토랑들에서 테이블링 보고 어플이 있다는 걸 알게 됐어요! 자주 가던 레스토랑들이 다 있어서 너무 편해요!! 진짜 최고!
4,좋아요~! 맛집 투어 다닐 때 테이블링 어플 참고해서 가고 있어용ㅋㅋ 맛집 진짜 많음 주의ㅋㅋㅋㅋㅋ
5,요즘 저에게 필수앱이 됐어요 이제는 맛집들 다닐때 꼭 쓰고 있어요 특히 원격줄서기 기능이 너무 좋습니다
1,뭔 페이등록안하면 줄서기도 안되고 원격줄서기도 페이안쓰면 나중엔 횟수 차감으로 할수도없고 편하려고 설치하는앱이 오히려 뭔가를 더 지치게 만드네
1,설치해놓고 2~3일안쓰면 앱 안쓰면 열리지도 않음... 이용하려는 가게가 테이블링이라서 쓰지 그것만 아니여도 진즉 지웠음 몇번째 삭제후 재설친지 너무 극혐임
1,카카오로 로그인하기 했는데 아이디랑 비번새로만들어서 가입도 따로 해야되고 휴대폰인증도 받음. 거기까진 참아줄랬는데 앱 이용하려면 테이블링페이 라는 서비스 계좌정보 등록하고 또 가입해야됨. 열받아서 지우고 포잉이랑 캐치테이블로 갑니다^^
1,줄서기하는데 무슨 개인정보를 이렇게 많이 필요로 하는지... 페이 강제 가입하는것도 왜 필요한지 모르겠고 보안이 잘되어 있는지도 의심스럽네요.
1,정말 최악의 앱임 휴대폰 본인 인증만 하려고 하면 계속 오류가 발생함 인증도 안되는 어플로 뭘 하라는건지 모르겠음
3,"앱으로 원격줄서기를 할수 있으니 그점은 굉장히 편한건 사실이었는데요! 폭탄 3개 순서미루기 2개 이런식으로 폭탄이 쓰이는것까지도 유료 어플 처럼 필요하다면 이해는 갑니다만, 이 폭탄을 모으는 경로가 첫 휴대폰 인증 + 계좌인증 외 에는 테이블링 페이를 이용해 결제했을때만 가능한점이 이해가 되지않습니다 그렇다고 줄서기한 매장에서 테이블링 페이로 자동결제라던지 직접 매장에서 페이로 따로 결제 할수도 없던데요 카드나 현금 받으신다고... 그렇게되면 첫 인증했던 폭탄을 다 쓰고나면 어떻게 폭탄을 채울지 의문입니다 사실 가서 1-2시간 기다릴거 원격으로 하고 10분 정도만에 들어갈수있다면 테이블링 페이든 폭탄이든 괜찮다고 생각하는데 저런식이면 폭탄이 아예 없어지면 줄서기도 못하고 폭탄을 충전하는 비용이 차라리 따로 있던가 하는게 나은게 아닐지요 제가 잘못 알고 있는게 있다면 답변으로 알려주시고 테이블링 페이 및 폭탄 충전에 관해서 제대로 바로잡아 주시기 바랍니다"
1,아무리 돈이 좋다곤 하지만ㅋ 난 가서 조금 더 기다릴란다ㅋㅋ 폭탄이 터지긴 터지겠네요~ 앱도 수익화모델을 짠 담당자도 펑펑~터지겠어요.
1,최악 가입하는데 sns연동해도 또 아이디 만드는 가입절차 거쳐야되고ㅋ 원격 줄서기도 테이블링 페이 강제 이것저것 인증하는 사이 이게 맞는지 의문이 드는데요ㅋㅋㅋ
1,줄서기불가라는데 실시간확인도안되고 ..... 참 ..나 이 웹을 사용해야하는 이유를 정말정말 모르겠네요
5,매장측 실수로 노쇼처리가 됐는데 문의했더니 친절하게 복구해줘서 좋았습니다. 매장쪽에서 좀더 방법을 숙지해주면 좋겠다는..
5,이 어플 사용하고 나선 자주가는 맛집가도 많이 안 기다리고 이용할 수 있어서 너무 만족하는데요 원격줄서기 하기전에 몇팀 남았는지 알려줬으면 하네요
1,앱업데이트는 왜이렇게 자주하고 페이는 예약에 지장도안주면서 왜 등록하라하는지 ^^ 덕분에 업데이트하고 페이등록 오류 오지게떠서 첫데이트 망쳤네요
1,시스템이 완전 이해할 수 없게 바뀌었습니다. 줄서기 위한 앱에 왜 결제시스템이 들어갑니까? 앱의 역할이 뭔지 본분을 망각했습니다.
4,"연돈이 이걸로 예약받는다고 해서 깔았는데 경쟁률이 높아서 아직은 못 먹어본게 아쉽네요,, 그래도 다른 맛집들 테이블링으로 편하게 다니고 있습니다~! 흥하세요!!!"
5,줄서도 못먹는다는 연돈을 드디어ㅠㅠ 예약하고 편하게 먹네요!!!! 다른 맛집도 많아서 너무 좋아요!!!!
5,엄마가 친구들이랑 지방 여행가신다고 해서 맛집 추천해드리면서 어플 사용법 알려줬더니 사용해보셨네욬ㅋㅋㅋㅋ 너무 좋았답니다!!
4,근처 맛집 찾아보기 귀찮을때 이용하고 있슴다~~ 유명한 곳 많아서 좋고요... 지역 검색을 할수있어서 좋아요~^^
5,요즘 어디 가면 습관처럼 테이블링 켜서 맛집 찾아봐요! 너무 편리하고 좋네요!
5,원격줄서기 해놓고 늦게 도착할 것같으면 순서를 미룰 수 있는게 좋습니다 유용하게 사용하고 있어요
1,별점 보고 설치하세요. 왜 별점이 낮아진건지는 설치해보면 알게됨. 사용자들 등돌린 후면 늦는다는걸 모르는건가? 그냥 전화 예약이나 가서 대기자명단 작성하세요.
5,요새 젤 잘 사용중인 앱이에요 집 주변에 가까운 곳은 포장도 간편하게 시킬 수 있고 가끔 맛집탐방할때고 잘 사용중이에요
5,업뎃하니까 주변에 있는 식당들을 보여주네요. 예전부터 원했던 기능인데 한층 편리합니다.
1,"연돈라는 레스토랑 덕택에 앱 설치의 진입 장벽 낮추는것에 성공했지만, 오히려 역효과 인듯, 매크로질 막지 못하는것에 기분이 나빠지네요 투성이네요... 맛집 명성 똥칠하는것도 아니고... 난장판이네요."
1,진짜.뭣같으네 . 알아서 인원수대로 메뉴주는데 뭘 갖다붙여서 더 못먹게하냐. 서버나.제대로 해라
1,별 1개도 아까움 쓸데없는 절차 너무 많음 걍 예약 기능만 있으면 되는데 계좌까지 등록시키고 전화 인증도 해야함
5,배달비가 너무 많이 올라서 차라리 직접 가서 먹거나 포장을 하는데 테이플링 필수에요 집근처에는 포장 되는 가게가 아직 없어서 아쉽네요ㅜㅜ
3,메세지 출력 오류가 있네요. 제주도 밖에서 우동카덴 예약버튼 누르면 연돈예약은 제주내에서만 가능하다고 나와요. 가게이름 호출 변수값 잘못설정되어있나봐요
5,"나만 알고싶었던 맛집에도 어느순간 테이블링 들이셨더라구요~ 더 유명해지면 사람들 몰리겠지만,, 이제 원격으로 대기걸면 되니까 편리하긴 하겠어요!"
5,요즘엔 테이블링 안쓰는 맛집 찾기가 더 힘든것 같음. 너무 편하게 잘 사용하고 있음.
5,예약을 걸어놓고 맛있는 곳들 많이 다니고 있어요 웨이팅 걱정없이 다닐 수 있는게 너무 좋아요 굿굿
4,뭐먹을지 고민될 때 요 어플 자주 참고하고 있어영 맛집이 진짜 많아서 고르기 힘들지만.. (?)
1,앱도 거지같고 렉도 엄청걸리고 오류도 엄청많음... 왜 이런앱에다 예약시스템을 만들어놓은건지 ㅜ
5,여러 곳을 찾아가서 먹어 봤는데 테이블링에 있는 식당들은 맛들이 하나 같이 좋았어요 리뷰도 많아서 참고해서 선택하면 됨
4,어플이 예전보다 보기 편해졌어요 리뷰에 사진도 첨부할 수 있어서 밖에서 나가서 먹을 때 많은 도움이 됩니다
5,엄선 맛집들 정보도 많고 리뷰도 있고 메뉴 미리 주문하고 기다리지않게 줄서기해놓고 다녀오고 있어요 매우 유용해요
1,아니 원격 줄서기 하면뭐해요 오류나서 확인도안되는데 의미있음? 안정성 개판이네진짜
5,친구가 추천해서 알게됐어요! 그동안 테이블링 없었으면 맛집투어 진작에 관뒀을 것 같네욤 핫플레이스 가시는 분들은 필수입니다 이거ㅎㅎ
2,포잉 어플을쓰다가 다운받아봤는데 제가 예민한건지는 모르겠지만 앱디자인을바꿨으면좋겠어요 사진은 예쁜데 앱이 고급스러워보이지않아서 신뢰가 안감 또 이용할거같진않아요...
1,별 한개도 아깝다. 돈독이 오른게 확실하네요.. 음식금액 전체를 미리 페이로 결재하라고?? 수수료 장사 적당히 하세요;;;; 어플 삭제합니다.
4,저는 좋아용 예약 전화로하는거 싫어했는데 딱이에요 예약 바로 확인 안될까봐 걱정했는데 문제없이 잘먹고 왔어요
1,갑자기 테이블링페이를 써야만 이용이 가능하다고하니 그게 좀 불편하게 느껴져서 삭제하게되었습니다..
5,원래 오프라인에만 있는줄 알았는데 친구가 알려줘서 원격줄서기 사용해 봤는데 신세계네요
4,이런 기능이 있는지도 모르고 가게 앞에서 하루종일 기다렸었어요 테이블링 원격줄서기 쓰면서부터 완전 신세계. 정말 편합니다.
5,맛집들 예약도 편리하고 메뉴고르고 미리 주문도 가능해서 좋습니다 실제 이용자들의 리뷰도 참조가되어서 좋아요
1,"본인인증 화면에서 30분이상 못 넘어가는 어플, 이거 하다가 그냥 식당에 도착해서 가서 줄섰음"
1,이거 앱깔고 하루뒤에 보이스피싱 전화왔어요 우연의 일치일수있지만 개인정보 유출 무섭네요 진짜
5,잘쓰고있습니다!!!!~ 그런데 건의사항이 있습니다~ 내가 관심있는 매장의 대기가 오픈되면 알림이 오는 기능이 있으면 좋지 않을까요?
1,앱 사용하려면 본인인증을 핸드폰 번호로 하게끔 해놓고 인증하려면 뭐 무한대기네요. 2일째 그러네요. 어플 만드시는 분이 만드신거 맞나요? 지난주에 코딩배우신분이 만드셨나요?
1,원격줄서기 이용하려면 회원가입부터 계좌등록 페이등록을 거쳐야하는게 너무 불편하네요 강제성으로 밖에 안보입니다
5,원격 줄서기 기능으로 다 알려주고 시간 낭비 안 하네요 밥집도 많고ㅋㅋ
4,제주도 여행갈때 연돈가려고 깔았어요! 제주도에도 많은 매장이 있어서 여행 내내 애용했네욥! 아주 좋아욥!
5,많은 맛집들이 테이블링을 사용하더라고요 테이블링으로 원결줄서기 걸어놓고 찾아가서 대기시간없이 먹을 수 있어서 좋습니다
1,원격줄서기하려고 회원가입하라는대로 다했더니 테이블링페이 가입해야 가능이라함 장난치는것도 아니고 다신이용안함 개불편
1,앱후기 그대로 빵점짜리앱... 강제 페이가입시켜놓고 계좌인증 전화통화 후 앱 먹통이에요 ㅋ 쓸일있는데 그 단계에서 넘어가질 않고 되풀이어서 두번시도 두번실패 후 후기작성했습니다.
3,친구가 추천해줘서 깔아봤는데 아직 사용은 못했지만 원격줄서기 좋아보이내요 주말에 원격으로 이용해봐야겠어요
1,매우 기분나쁘네요 안내 제대로 하저도 않고 몇군데 이용하려 깔았는데 할때마다 뭔가 요구 열받아 탈퇴하고 지움!
